OID_,Id,stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,loc_type,parent_sta,timezone,wheelchair,count,coord_x,coord_y,dist_ctr
906,0,1054,986,Holmes + Wildwood, ,42.254058000000001,-83.563027000000005, , , , , ,1,1,288576.070000000298023,4681164.598200000822544,14239.745175501999256
907,0,1055,997,Cross + Prospect, ,42.246110999999999,-83.603133999999997, , , , , ,1,1,285240.445899999700487,4680382.494400000199676,11276.802795928964770
908,0,1056,998,Cross + River, ,42.246018999999997,-83.609077999999997, , , , , ,1,1,284749.717000000178814,4680387.285800000652671,10818.498888434940454
909,0,1057,999,Cross + Huron, ,42.245919000000001,-83.612819999999999, , , , , ,2,1,284440.638199999928474,4680385.646800000220537,10533.132849745388739
910,0,1102,1287,South U + State, ,42.274990000000003,-83.740106999999995, , , , , ,1,1,274042.506699999794364,4683943.938400000333786,834.239975137740316
911,0,1103,1293,Wolverine Tower Entrance #C, ,42.242981000000000,-83.736560999999995, , , , , ,1,1,274220.688199999742210,4680380.053200000897050,4085.141703166463685
912,0,1106,1510,Church + South U, ,42.275928000000000,-83.734612999999996, , , , , ,1,1,274498.939100000075996,4684033.527300000190735,456.794163973498883
913,0,1107,1674,State St Commuter Lot, ,42.249257999999998,-83.740210000000005, , , , , ,1,1,273942.035299999639392,4681086.770300000905991,3436.674720172311481
914,0,1108,1695,SU + Tappan, ,42.275005000000000,-83.737744000000006, , , , , ,1,1,274237.434899999760091,4683939.332800000905991,689.609474862113075
915,0,1110,1747,State + UM Commuter Lot, ,42.248759999999997,-83.740217999999999, , , , , ,1,1,273939.595700000412762,4681031.490599999204278,3491.095462186107397
916,0,1111,1750,State + UM Tenni & Gymnastics, ,42.252051000000002,-83.742464999999996, , , , , ,1,1,273765.980899999849498,4681402.911499999463558,3177.662514171872317
917,0,1112,1763,Miller + Maple, ,42.295105999999997,-83.781296999999995, , , , , ,1,1,270718.611100000329316,4686287.946699999272823,4406.852367562515610
918,0,1113,1765,Miller + Kuehnle, ,42.296700000000001,-83.784205999999998, , , , , ,2,1,270484.576999999582767,4686472.800499999895692,4697.430854051051028
919,0,1114,1824,Huron + State, ,42.281289999999998,-83.742187999999999, , , , , ,1,1,273893.430399999953806,4684649.058700000867248,850.900316884499148
920,0,1119,1878,Wolverine Tower + Comerica, ,42.243096999999999,-83.737843999999996, , , , , ,1,1,274115.240799999795854,4680396.337099999189377,4083.181032634135590
921,0,1120,1882,Maple + Miller, ,42.295679999999997,-83.780916000000005, , , , , ,2,1,270752.105499999597669,4686350.660900000482798,4403.405327230349940
922,0,1121,1925,Glazier + Bardstown, ,42.288004000000001,-83.689758999999995, , , , , ,2,1,278240.333300000056624,4685256.642200000584126,3617.930953487688384
923,0,1127,568,State + Hoffman, ,42.258057999999998,-83.740178000000000, , , , , ,1,1,273976.124800000339746,4682063.891100000590086,2484.088336421414169
924,0,1128,903,State + Hoffman, ,42.258446999999997,-83.740370999999996, , , , , ,1,1,273961.594399999827147,4682107.600500000640750,2446.849245603581039
925,0,1129,904,State + Parkcrest, ,42.256919000000003,-83.739992999999998, , , , , ,1,1,273987.315100000239909,4681936.918299999088049,2602.398797451146038
926,0,1130,905,State St + 2285, ,42.253453999999998,-83.739705000000001, , , , , ,1,1,273998.691599999554455,4681551.378900000825524,2971.669521767524657
927,0,1131,907,State + Hidden Valley, ,42.246754000000003,-83.739439000000004, , , , , ,1,1,273996.699599999934435,4680806.664400000125170,3699.073460781455651
928,0,1132,919,State + Oakbrook, ,42.250200000000000,-83.739338000000004, , , , , ,2,1,274017.343000000342727,4681189.060900000855327,3320.418811876365453
929,0,1133,920,State + State Park and Ride, ,42.253683000000002,-83.739551000000006, , , , , ,1,1,274012.214399999938905,4681576.399700000882149,2944.130586884497006
930,0,1134,921,State + Parkcrest, ,42.256670000000000,-83.739767999999998, , , , , ,1,1,274004.986200000159442,4681908.670499999076128,2624.677130457614567
931,0,1135,2042,Prospect + Oak, ,42.248350000000002,-83.602682999999999, , , , , ,1,1,285285.254800000227988,4680629.986400000751019,11232.396816523976668
932,0,1136,2150,Holmes + East Cir, ,42.254148999999998,-83.559647999999996, , , , , ,2,1,288855.125599999912083,4681166.318399999290705,14511.095632667658720
933,0,1137,1368,Main + Oakbrook, ,42.245989999999999,-83.749419000000003, , , , , ,2,1,273170.549499999731779,4680748.362600000575185,3997.775310418365279
934,0,1138,1374,Main + Eisenhower, ,42.244509999999998,-83.749419000000003, , , , , ,2,1,273165.243300000205636,4680584.014499999582767,4151.797308320929005
935,0,1139,1751,Main + Arbor Lake Village, ,42.249536999999997,-83.749504000000002, , , , , ,2,1,273176.254399999976158,4681142.469599999487400,3635.120942519203709
