Id,Label,0,1,indegree,outdegree,Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,componentnumber,strongcompnum,Authority,Hub,pageranks,modularity_class,stat_inf_class,clustering,eigencentrality,weighted indegree,weighted outdegree,Weighted Degree
935,Arlington + Geddes,-83.710686,42.272533,2,1,3,59,0.03402,0.044553,38445,0,81,0,0,0.001645,15,2,0,0.087365,2,1,3
936,Arlington + Devonshire,-83.709229,42.270203,1,1,2,59,0.033,0.042789,29484,0,81,0,0,0.000807,14,2,0,0.048116,1,1,2
937,Arlington + Aberdeen,-83.707695,42.268753,1,1,2,60,0.032039,0.041209,29461,0,81,0,0,0.000743,14,2,0,0.056079,1,1,2
938,Arlington + Heather Way,-83.707146,42.266476,1,2,3,58,0.031393,0.042541,30064,0,81,0,0,0.001335,14,2,0,0.069545,1,2,3
939,Arlington + Hawthorne,-83.707062,42.26432,1,1,2,61,0.028702,0.036211,3,0,81,0,0,0.000743,14,2,0,0.056079,1,1,2
940,Arlington + Bedford,-83.706955,42.263199,2,1,3,60,0.029546,0.03779,30018,0,81,0,0,0.001397,14,2,0,0.103709,2,1,3
941,Overridge + Arlington,-83.706589,42.261971,1,2,3,61,0.028996,0.039332,29972,0,81,0,0,0.001388,14,2,0,0.067809,1,2,3
942,Overridge + Sheridan,-83.708801,42.260155,1,1,2,64,0.026685,0.033608,3,0,81,0,0,0.000766,14,2,0,0.055593,1,1,2
943,Manchester + Medford,-83.710976,42.256794,1,1,2,64,0.026747,0.033969,29254,0,81,0,0,0.000759,14,2,0,0.044498,1,1,2
944,Medford + Needham,-83.714325,42.257504,1,1,2,65,0.026113,0.033058,29231,0,81,0,0,0.000687,14,2,0,0.047989,1,1,2
945,Medford + St  Francis,-83.716408,42.259178,1,2,3,66,0.025795,0.035635,30459,0,81,0,0,0.001203,14,2,0,0.055548,1,2,3
946,Stadium + St  Francis Dr,-83.715996,42.260693,1,1,2,71,0.022868,0.028911,628,0,81,0,0,0.000687,14,2,0,0.047989,1,1,2
947,Tappan School,-83.720757,42.261158,1,1,2,70,0.023399,0.029776,651,0,81,0,0,0.000759,14,2,0,0.044498,1,1,2
